Test 1: 10/24, 1:00AM
Hidden Layer 1: 15, Hidden Layer 2: 2, Output classes: 12, Baseline: 87.07% (22.37%)
Hidden Layer 1: 15, Hidden Layer 2: 3, Output classes: 12, Baseline: 94.47% (8.33%)
Hidden Layer 1: 15, Hidden Layer 2: 4, Output classes: 12, Baseline: 99.00% (0.37%)
Hidden Layer 1: 15, Hidden Layer 2: 5, Output classes: 12, Baseline: 76.10% (27.03%)
Hidden Layer 1: 15, Hidden Layer 2: 6, Output classes: 12, Baseline: 93.63% (9.24%)
Hidden Layer 1: 15, Hidden Layer 2: 7, Output classes: 12, Baseline: 98.70% (0.46%)
Hidden Layer 1: 15, Hidden Layer 2: 8, Output classes: 12, Baseline: 71.13% (34.40%)
Hidden Layer 1: 15, Hidden Layer 2: 9, Output classes: 12, Baseline: 71.07% (33.86%)
Hidden Layer 1: 16, Hidden Layer 2: 0, Output classes: 12, Baseline: 48.77% (25.76%)
Hidden Layer 1: 16, Hidden Layer 2: 1, Output classes: 12, Baseline: 68.23% (16.89%)
Hidden Layer 1: 16, Hidden Layer 2: 2, Output classes: 12, Baseline: 94.47% (8.09%)
Hidden Layer 1: 16, Hidden Layer 2: 3, Output classes: 12, Baseline: 97.83% (0.43%)
Hidden Layer 1: 16, Hidden Layer 2: 4, Output classes: 12, Baseline: 87.77% (21.72%)
Hidden Layer 1: 16, Hidden Layer 2: 5, Output classes: 12, Baseline: 76.17% (27.56%)
Hidden Layer 1: 16, Hidden Layer 2: 6, Output classes: 12, Baseline: 98.67% (0.65%)
Hidden Layer 1: 16, Hidden Layer 2: 7, Output classes: 12, Baseline: 87.73% (22.28%)
Hidden Layer 1: 16, Hidden Layer 2: 8, Output classes: 12, Baseline: 64.87% (27.80%)
Hidden Layer 1: 16, Hidden Layer 2: 9, Output classes: 12, Baseline: 56.57% (37.40%)
Hidden Layer 1: 17, Hidden Layer 2: 0, Output classes: 12, Baseline: 44.83% (28.12%)
Hidden Layer 1: 17, Hidden Layer 2: 1, Output classes: 12, Baseline: 85.63% (16.45%)
Hidden Layer 1: 17, Hidden Layer 2: 2, Output classes: 12, Baseline: 98.33% (0.47%)
Hidden Layer 1: 17, Hidden Layer 2: 3, Output classes: 12, Baseline: 89.73% (17.70%)
Hidden Layer 1: 17, Hidden Layer 2: 4, Output classes: 12, Baseline: 83.17% (31.17%)
Hidden Layer 1: 17, Hidden Layer 2: 5, Output classes: 12, Baseline: 82.93% (32.39%)
Hidden Layer 1: 17, Hidden Layer 2: 6, Output classes: 12, Baseline: 98.83% (0.49%)
Hidden Layer 1: 17, Hidden Layer 2: 7, Output classes: 12, Baseline: 93.97% (9.57%)
Hidden Layer 1: 17, Hidden Layer 2: 8, Output classes: 12, Baseline: 56.03% (36.03%)
